"brand","store","week","sales_","count","price_","prom_","cost_","brand_name","size","avoutprice"
1,100,1,15,29262,3.34,0,2.12,"Tylenol 25",25,0.0036886
1,100,10,26,30608,3.32,0,2.13,"Tylenol 25",25,0.0008572
1,100,11,21,26464,3.34,0,2.16,"Tylenol 25",25,0.0028218
1,100,12,30,28324,3.31,0,2.13,"Tylenol 25",25,0.0061461
1,100,13,27,28234,3.32,0,2.13,"Tylenol 25",25,0
1,100,14,27,28234,3.32,0,2.13,"Tylenol 25",25,0.0027878
1,100,15,27,28234,3.32,0,2.13,"Tylenol 25",25,0.000898
1,100,16,25,29076,3.59,0,2.3,"Tylenol 25",25,0.0019236
1,100,17,30,28563,3.54,0,2.26,"Tylenol 25",25,0.0053929
1,100,18,23,28464,3.58,0,2.29,"Tylenol 25",25,0.0056693
1,100,19,23,28464,3.58,0,2.29,"Tylenol 25",25,0.0010241
1,100,2,20,30365,3.28,0,2.04,"Tylenol 25",25,8.54e-05
1,100,20,23,28464,3.58,0,2.29,"Tylenol 25",25,0.0047508
1,100,21,38,36148,3.56,0,2.27,"Tylenol 25",25,0.0009361
1,100,22,30,28446,3.55,0,2.26,"Tylenol 25",25,0.0027232
1,100,23,18,28232,3.51,0,2.23,"Tylenol 25",25,0.0001834
1,100,24,32,28462,3.55,0,2.27,"Tylenol 25",25,0.0032852
1,100,25,24,28675,3.51,0,2.24,"Tylenol 25",25,0.0050157
1,100,26,31,28538,3.53,0,2.24,"Tylenol 25",25,0
1,100,27,32,27113,3.52,0,2.25,"Tylenol 25",25,0.0053769
1,100,28,24,28576,3.5,0,2.24,"Tylenol 25",25,0.0026539
1,100,29,24,29217,3.57,0,2.31,"Tylenol 25",25,0.0014589
1,100,3,24,25317,3.28,0,2.05,"Tylenol 25",25,0.002321
1,100,30,27,32120,3.53,0,2.27,"Tylenol 25",25,0.0015588
1,100,31,19,27054,3.61,0,2.34,"Tylenol 25",25,0.0007298
1,100,32,28,26788,3.56,0,2.29,"Tylenol 25",25,0.005373
1,100,33,29,28743,3.56,0,2.3,"Tylenol 25",25,0.0010017
1,100,34,24,30390,3.49,0,2.22,"Tylenol 25",25,0
1,100,35,22,28746,3.5,0,2.23,"Tylenol 25",25,0.0016522
1,100,36,25,28868,3.56,0,2.29,"Tylenol 25",25,0.0055172
1,100,37,19,27267,3.5,0,2.24,"Tylenol 25",25,0.0032247
1,100,38,21,30296,3.53,0.81,2.25,"Tylenol 25",25,0.0024399
1,100,39,34,26082,3.51,0,2.25,"Tylenol 25",25,0.0009172
